"OBRAS:“PRIMER ETAPA CERCO PERIMETRAL Y ALCANTARILLA DE ACCESO, PARQUE INDUSTRIAL BELLA VISTA """,,,,
EMPRESA,GEC S.A.,,,
PRES.CONTRAC.,"$ 195,041,461.36",,,
facturado,CERTIFICADO,MONTO,EXPEDIENTE,UBICACIÓN
si,Ant Financ.," $ 58,512,438.41 ",180-1366/23,COBRADO
si,1," $ 22,909,025.91 ",180-1633/23,COBRADO
si,2," $ 45,444,596.50 ",180-143/2024,COBRADO
si,3," $ 10,756,653.25 ",180-259/2024,COBRADO
si,4," $ 16,330,022.88 ",180-380/24,COBRADO
si,5," $3,291,338.07 ",180-558/2,COBRADO
si,6," $10,877,141.12 ",180-647/24,COBRADO
si,7," $12,562,440.96 ",180-864/24,COBRADO
si,8," $14,357,804.26 ",180-1065/24,COBRADO
,TOTAL OBRA BASICA:," $195,041,461.36 ",,
,REDETERMIN.,MONTO,EXPEDIENTE,UBICACIÓN
,Redet. N°1,,180-1378/23,COBRADO
,ADICIONAL 1,MONTO,EXPEDIENTE,UBICACIÓN
,ADIC. N°1,"$ 22,962,099.94",180-1101/24,COBRADO