MINISTERIO DE OBRAS Y SERVICIOS PUBLICOS,,,,,,,,,,,,,,,,
PROVINCIA DE CORRIENTES    ,,,,,,,,,,,,,,,,
DCCION. REGISTRO DE CONSTRUCTORES DE OBRAS PUBLICAS  ,,,,,,,,,,,,,,,,
DECLARACION JURADA:,,,,EMPRESA:,,,,,,,,,FORMULARIO Nº 12,,,
OBRAS EN EJECUCION,,,,ESPECIALIDAD: ARQUITECTURA ,,,,,,,,,,,,
               DETALLE DE LAS OBRAS EN EJECUCION ,,,,,,,,,,,,,,,,
Nº ,DESIGNACION Y UBICACION,SUP. DE OBRA (M2),ENTIDAD  CONTRATANTE,FECHAS ,,,IMPORTES (EN PESOS) A VALORES BASICOS,,,       PLAZOS (EN MESES),,,,%,,
,,,,MES BASICO,FIRMA DE,INICIACION,CONTRATO MAS,CERTIFICADO,SALDO A,SEGUN,PRORROGAS,PLAZO,PLAZO,,,
,,,,DE CONTRATO,CONTRATO,,AMPLIACIONES,A LA FECHA,CERTIFICAR,CONTRATO,ACORDADAS,TOTAL,TRANSC.,,,
1,NUEVA- SECTOR 1- SECTOR II- 4° ETAPA-HOSPITAL SUSSINI-,,S.U.E.P,JUN.-16,,ENE.- 17," $ 27,900,000.33 "," $ 27,900,000.33 ", $ -   ,10,17,27,19,100.00%,,
1,CENTRO INTERPRETACION JESUITICO GUARANI,495.00,MOySP,Dec-19,,6/25/20," $ 20,132,072.92 "," $ 20,132,072.92 ", $ -   ,8,1,9,8,100.00%,,
2,MUSEO HISTORICO YAPEYU,659.21,MOySP,Nov-19,,7/24/20," $ 22,513,066.00 "," $ 22,513,066.00 ", $ -   ,9,1,10,7,100.00%,,
1,HOSPITAL SAN ANTONIO DE PADUA - LA CRUZ,1630,MOySP,Jul-20,,3/8/21," $ 111,300,963.31 "," $ 111,300,963.31 ", $ -   ,13,3,16,16,100.00%,,
4,"CONSTRUCCION DE 15 VIVIENDAS O,C. PROV. TERRENO URB. Y OB. INFR. P/CONJ. - TAPEBICUA",956.55,IN.VI.CO,Dec-16,,7/1/20," $ 40,037,976.63 "," $ 37,927,975.26 "," $ 2,110,001.37 ",16,,12,8,94.73%,,
2,"CONSTRUCCION DE 20 VIVIENDAS, O. C., PROV. TERRENO DONDE SE EJEC. LAS OBRAS, PROY. URB. Y OB. DE INF P/CONJUNTO - YAPEYU",1275.40,IN.VI.CO,Sep-20,,2/1/21," $ 59,377,496.04 "," $ 56,527,376.23 "," $ 2,850,119.81 ",8,,8,8,95.20%,,
1,"CONSTRUCCION DE 20 VIVIENDAS, O. C. PROPIAS DEL CONJ. - MOCORETA",1217.10,IN.VI.CO,May-21,,2/23/22," $ 94,581,019.22 "," $ 94,581,019.22 ", $ -   ,8,2,10,10,100.00%,,
7,ACONDICIONAMIENTO AMPLIACION TERMINACION DE EDIFICIOS EN EL COMPLEJO FORMATIVO POLICIAL SANTA CATALINA 3RA ETAPA,1500.00,Ministerio de Seguridad,Feb-21,,6/30/21," $ 49,910,000.00 "," $ 39,928,000.00 "," $ 9,982,000.00 ",6,,6,3,80.00%,,
3,"PROYECTO DE OBRA JARDÍN MATERNAL A EJECUTARSE EN LA CRUZ, PROVINCIA DE CORRIENTES",165.20,MOySP,Jul-20,,9/17/21," $ 12,312,735.60 "," $ 12,097,262.73 "," $ 215,472.87 ",4,2,6,5,98.25%,,
3,CONSTRUCCIÓN JIN N°36 EN ESCUELA N°656 - SAUCE - PROVINCIA DE CORRIENTES,545.00,Ministerio de Educaciòn de la Nación,Oct-21,,2/25/22," $ 59,999,999.80 "," $ 59,999,999.80 ", $ -   ,6,2,8,8,100.00%,,
4,"DENOMINACION DE LA OBRA: CONSTRUCCION DE JARDIN “J.I.N.en Esc. 419” - COLONIA SAN ANTONIO - ITUZAINGO- PROVINCIA: CORRIENTES

",550.00,Ministerio de Educaciòn de la Nación,Feb-21,,9/29/21," $ 61,716,829.97 "," $ 46,503,631.38 "," $ 15,213,198.59 ",6,3,6,8,75.35%,,
0,"CONSTRUCCION DEL MODULO 3 DEL CENTRO DE FORMACION Y CAPACITACION POLICIAL DEL BARRIO SANTA CATALINA - CORRIENTES CAPITAL
",638.00,MENISTERIO DE EDUCACION,Feb-22,,5/16/22," $ 75,474,246.43 "," $ 75,474,246.43 ", $ -   ,8,2,10,10,100.00%,,
1,"INTITUTO DE FORMACION DOCENTE SAUCE
",863.74,MINISTERIO DE EDUCACION ,Feb-22,,9/15/22," $ 134,300,043.70 "," $ 134,300,043.70 ", $ -   ,12,7,19,19,100.00%,,
2,CONSTRUCCION DE CDI MOCORETA,200.00,MOySP,Apr-22,,12/15/22," $ 67,999,399.00 "," $ 36,753,675.16 "," $ 31,245,723.84 ",8,14,22,21,54.05%,,
3,CONSTRUCCION DE CDI LA CRUZ,200.00,MOySP,Apr-22,,5/15/23," $ 66,440,315.00 "," $ 11,394,514.02 "," $ 55,045,800.98 ",8,15,23,22,17.15%,,
5,"""CONSTRUCCIÓN DE 40 VIVIENDAS , VEREDA MUNICIPAL, ARBOLADO Y ALUMBRADO PUBLICO DEL CONJUNTO EN LA LOCALIDAD DE LA CRUZ”",2400.00,IN.VI.CO,Nov-21,,10/3/22," $ 724,458,337.93 "," $ 724,458,337.93 ", $ -   ,12,22,34,34,100.00%,, 
6,"Obra;“CONSTRUCCIÓN DE 20 VIVIENDAS, OBRAS COMPLEMENTARIAS PROPIAS DEL CONJUNTO - EN LA LOCALIDAD DE COLONIA LIBERTAD - CORRIENTES ”",1120.00,IN.VI.CO,Mar-23,,7/5/23," $ 263,012,097.96 "," $ 263,012,097.96 ", $ -   ,8,6,14,14,100.00%,,
6,"""CONSTRUCCIÓN DE 40 VIVIENDAS , VEREDA MUNICIPAL, ARBOLADO Y ALUMBRADO PUBLICO DEL CONJUNTO EN LA LOCALIDAD DE LA CRUZ” - ADENDA",2400.00,IN.VI.CO,Jul-22,,5/3/23," $ 296,022,078.55 "," $ 296,022,078.55 ", $ -   ,12,18,30,27,100.00%,,
7,"""CONSTRUCCIÓN DE 15 VIVIENDAS , VEREDA MUNICIPAL, ARBOLADO Y ALUMBRADO PUBLICO DEL CONJUNTO EN LA LOCALIDAD DE BOMPLAND”",990.00,IN.VI.CO,Apr-22,,3/6/23," $ 365,922,996.14 "," $ 365,922,996.14 ", $ -   ,8,21,29,29,100.00%,,
9,CONSTRUCCION COMISARIA MOCORETA,240.00,IN.VI.CO,Jul-22,,11/11/22," $ 49,692,359.59 "," $ 32,782,049.62 "," $ 16,910,309.97 ",10,,10,8,65.97%,,
10,HOSPITAL DR. SUSSINI REFACCION AMPLIACION COLONIA LIEBIG'S,400.00,IN.VI.CO,May-22,,12/5/22," $ 73,116,797.10 "," $ 66,755,635.75 "," $ 6,361,161.35 ",12,,12,10,91.30%,,
8,"""CONSTRUCCIÓN DE 15 VIVIENDAS , VEREDA MUNICIPAL, ARBOLADO Y ALUMBRADO PUBLICO DEL CONJUNTO EN LA LOCALIDAD DE BOMPLAND” - ADENDA",990.00,IN.VI.CO,Jul-22,,5/6/23," $ 122,620,529.14 "," $ 122,620,529.14 ", $ -   ,8,21,29,27,100.00%,,
9,"""CONSTRUCCIÓN DE 12 VIVIENDAS Y OBRAS COMPLEMENTARIAS PROPIAS DEL CONJUNTO, GRUPO 2 - CON PROVISION E INSTALACION DE TERMOTANQUE SOLAR """,720.00,IN.VI.CO,Jun-24,,7/1/25," $ 838,633,291.45 "," $ 102,816,441.53 "," $ 735,816,849.92 ",8,0,8,3,12.26%,,
10,"OBRA: CORDON CUNETA, RIPIO Y BADEN + LIMPIEZA Y EJECUCION DE DESAGUE PLUVIAL P/40 VIVIENDAS- LA CRUZ CORRIENTES",,IN.VI.CO,Jun-24,,1/20/25," $ 401,529,577.80 "," $ 401,529,577.80 ", $ -   ,3,5,8,8,100.00%,,
10A,"ADICIONAL N°1: CORDÓN CUNETA - RIPIO Y BADÉN - LIMP. Y 
EJEC. DES PLUVIAL P/40 VIV - LA CRUZ",,IN.VI.CO,Jun-24,,1/20/25," $ 44,643,377.05 "," $ 44,643,377.05 ", $ -   ,1,1,0,1,100.00%,,
11,OBRA: NUEVA COMISARIA-  EL CAIMAN- CORRIENTES,183.00,IN.VI.CO,Sep-24,,4/1/25," $ 368,575,207.89 "," $ 287,599,234.72 "," $ 80,975,973.17 ",10,0,10,6,78.03%,,
12,OBRA: POLIDEPORTIVO PALMAR GRANDE - GRAL PAZ,1190.00,IN.VI.CO,Sep-24,,5/1/25," $ 436,728,515.42 "," $ 436,728,515.42 ", $ -   ,8,0,8,3,100.00%,,
12A,OBRA: POLIDEPORTIVO PALMAR GRANDE - ADICIONAL N°1,,IN.VI.CO,Sep-24,,5/1/25," $ 48,643,501.02 "," $ 48,643,501.02 ", $ -   ,1,0,1,1,100.00%,,
13,"OBRA: RED AGUA + TANQUE - RED DE CLOACA + EST ELEV Y NEXO DE IMP - CORDON CUNETA, RIPIO Y BADEN P/15 VIV",765ML - 1563ML,IN.VI.CO,Dec-24,,5/1/25," $ 629,203,929.33 "," $ 561,501,586.53 "," $ 67,702,342.80 ",4,1,5,4,89.24%,,
14,OBRA: CONSTRUCCION DE TINGLADO PARA DEPOSITO EN ANFITEATRO MARIO DEL TRANSITO COCOMAROLA ,200.00,IN.VI.CO,Sep-24,,2/1/25," $ 316,625,774.43 "," $ 289,205,982.36 "," $ 27,419,792.07 ",3,6,9,8,91.34%,,
15,NUEVO POLIDEPORTIVO - CONCEPCIÓN ,,IN.VI.CO,Dec-24,,5/1/25," $ 565,642,500.64 "," $ 358,391,088.41 "," $ 207,251,412.23 ",6,0,6,1,63.36%,,
16,LIC. PRIV 11/25 - PAVIMENTO URB. - CALLE LOLA MORA - AV. GRAL. ARTIGAS - CALLE CALLAO - B°INDEP. Y VILLA ALUSTIZA - MONTE CASEROS,,IN.VI.CO,Feb-25,,7/1/25," $ 1,015,534,628.24 "," $ 1,015,534,628.24 ", $ -   ,4,0,4,3,100.00%,,
17,CLUB SPORTIVO CORRIENTES - CAPITAL,,IN.VI.CO,Dec-24,,8/1/25," $ 151,067,789.97 "," $ 15,106,779.00 "," $ 135,961,010.97 ",6,0,6,2,10.00%,,
18,"INFRA ELECTRICA - NEXO DE M.T. 13,2 KV + R.B.T. P/ 15 VIV - BONPLAND",,IN.VI.CO,Dec-24,,4/1/25," $ 151,497,843.25 "," $ 151,497,843.25 ", $ -   ,4,0,4,4,100.00%,,
19,"CONSOLIDACION DE TERRAPLEN C/ COLCHONETAS - B° 36 
VIV. - COLONIA LIEBIG",,IN.VI.CO,Jun-25,,6/1/25," $ 59,890,216.66 "," $ 59,890,216.66 ", $ -   ,2,0,2,1,100.00%,,
20,"CONST 10 VIV Y O..C. PROP. DEL CONJ - GR 1 - C/PROV E 
INST TERMOTANQUE SOLAR - YAPEYU",,IN.VI.CO,Apr-25,,S/I," $ 910,663,857.63 ", $ -   ," $ 910,663,857.63 ",2,0,2,0,0.00%,,
21,"EJEC DE SALIDA DE EMERG. - CONST COMEDOR TÉC. - 
REFACC. CANTINAS - PINTURA GRAL. D/PREDIO - ",,IN.VI.CO,Nov-24,,Feb-25," $ 150,178,372.43 "," $ 150,178,372.43 ", $ -   ,3,0,3,3,100.00%,,
22,"MONTAJE DE EST. LAYHER P/MEJORAR SOST DE 
ESTEREOESTRUCTURA - TRAB DE PINTURA Y MEJOR. -",,IN.VI.CO,Jan-25,,Apr-25," $ 48,578,012.34 "," $ 48,578,012.34 ", $ -   ,1,0,1,1,100.00%,,
23,RED DE AGUA Y CLOACA - REACONDICIONAMIENTO DE EST. ELEV. P/40 VIV - LA CRUZ ,,IN.VI.CO,Dec-24,,Apr-25," $ 214,311,963.62 "," $ 172,692,580.28 "," $ 41,619,383.34 ",3,8,11,10,80.58%,,
24,"LIC. PRIV. 21/25 PAVIMENTO URB - CALLES CALLAO - LOS ANDES - PREF. MONTE CASEROS
NAVAL Y ROQUE SAENZ PEÑA - B° JUAN PABLO II - MONTE",,IN.VI.CO,Feb-25,,Aug-25," $ 1,135,126,175.10 "," $ 207,160,526.96 "," $ 927,965,648.14 ",4,4,8,2,18.25%,,
25,"LIMPIEZA Y DESTAPE - MOV DE SUELO P/RELLENO DEL 
POLIDEPORTIVO - CONCEPCION",,IN.VI.CO,Jun-24,,Aug-25," $ 52,321,670.55 "," $ 18,929,980.40 "," $ 33,391,690.15 ",3,0,3,1,36.18%,,
26,LIC. PRIV. 10/25 - PAVIMENTACION URBANA AV. USPALLATA DESDE SAPIOLA HASTA GRAL. ARTIGAS Y CALLE GRAL . ARTIGAS DESDE USPALLATA HASTA LOLA MORA - GINSA,,IN.VI.CO,Feb-25,,Jun-25," $ 1,230,679,938.50 "," $ 721,424,579.95 "," $ 509,255,358.55 ",5,0,5,4,58.62%,,
27,OBRA: CUARTEL DE BOMBEROS FORESTALES- OBRA NUEVA-  (1175)- SANTO TOME- CORRIENTES- ,1300.00,D.P.O,Oct-24,,-," $ 5,566,456,353.41 ", $ -   ," $ 5,566,456,353.41 ",8,0,8,0,0.00%,,
28,OBRA: CUARTEL DE BOMBEROS FORESTALES - OBRA NUEVA - 5TA ETAPA (1323)” PASO DE LOS LIBRES - LIC. PRIV. 8/25,1300.00,D.P.O,Jun-25,,Nov-25," $ 1,084,293,992.96 "," $ 700,562,348.85 "," $ 383,731,644.11 ",4,0,4,2,64.61%,,
29,OBRA: CUARTEL DE BOMBEROS FORESTALES - OBRA NUEVA - 5TA ETAPA (1345)” - ITUZAINGO - LIC. PRIV. N° 9/25,1300.00,D.P.O,Jun-25,,Nov-25," $ 1,035,429,615.47 "," $ 681,105,601.05 "," $ 354,324,014.41 ",4,0,4,2,65.78%,,
30,OBRA: REFUNCIONALIZACION DE EDIFICIO PARA MINISTERIO PUBLICO,,PODER JUDICIAL,Apr-25,,," $ 160,944,478.29 "," $ 49,313,388.15 "," $ 111,631,090.14 ",3,0,3,0,30.64%,,
Deberán declararse la Obras en ejecución y las,,,,,,,,,,,,,,,,
contratadas sin inicio de obra,,,,,,,,.........................................,,,..............................,,,,,
,,,,,,,,   FIRMA Y SELLO,,,FIRMA Y SELLO,,,,,
,,,,,,,,REPRESENTANTE TECNICO,,,TITULAR DE,,,,,
,,,,,,,,,,,LA EMPRESA,,,,,