MINISTERIO DE OBRAS Y SERVICIOS PUBLICOS,,,,,,,,,,,,,
PROVINCIA DE CORRIENTES    ,,,,,,,,,,,,,
DCCION. REGISTRO DE CONSTRUCTORES DE OBRAS PUBLICAS  ,,,,,,,,,,,,,
DECLARACION JURADA:,,,EMPRESA:,,,,,,,,,,
OBRAS EN EJECUCION,,,ESPECIALIDAD: VIAL,,,,,,,,,FORMULARIO Nº 12,
               DETALLE DE LAS OBRAS EN EJECUCION ,,,,,,,,,,,,,
Nº ,DESIGNACION Y UBICACION,ENTIDAD  CONTRATANTE,FECHAS ,,,IMPORTES (EN PESOS) A VALORES BASICOS,,,       PLAZOS (EN MESES),,,,%
,,,MES BASICO,FIRMA DE,INICIACION,CONTRATO MAS,CERTIFICADO,SALDO A,SEGUN,PRORROGAS,PLAZO,PLAZO,
,,,DE CONTRATO,CONTRATO,,AMPLIACIONES,A LA FECHA,CERTIFICAR,CONTRATO,ACORDADAS,TOTAL,TRANSC.,
5,CONSTRUCCION DE ALCANTARILLA DE H°A° TIPO O-41.211-1 - RUTA: CAMINO VECINAL S/N° GOYA (ACCESO AL PARAJE BATEL ARAUJO) - TRAMO: RUTA PROVINCIAL N° 116  - RUTA PROVINCIAL N° 83 - SECCION: PORG. 3.100 - DPTO. GOYA,DIRECCION PROVINCIAL DE VIALIDAD D.P.V.,Mar-17,,Aug-17," $ 1,149,442.71 ", $ -   ," $ 1,149,442.71 ",2,0,2,0,0.00%
6,CONSTRUCCION DE ALCANTARILLA DE H°A° TIPO O-41.211-1 - RUTA: CAMINO VECINAL S/N° GOYA (ACCESO A LA UEN° 292 PARAJE VILLA RAQUELITA) - TRAMO: RUTA PROVINCIAL N° 26  - RUTA PROVINCIAL N° 116 - SECCION: PORG. 4.300 -A PARTIR DE LA RUTA P. N° 116 - DPTO. GOYA,DIRECCION PROVINCIAL DE VIALIDAD D.P.V.,Mar-17,,Aug-17," $ 939,411.26 "," $ 939,411.26 ", $ -   ,2,0,2,0,100.00%
,,,,,,,,FECHA: 07 de Agosto DE 2017,,,,,
Deberán declararse la Obras en ejecución y las,,,,,,,,,,,,,
contratadas sin inicio de obra,,,,,,,.........................................,,,..............................,,,
,,,,,,,   FIRMA Y SELLO,,,FIRMA Y SELLO,,,
,,,,,,,REPRESENTANTE TECNICO,,,TITULAR DE,,,
,,,,,,,,,,LA EMPRESA,,,