ACTUALIZADO,,OBRA,MONTO
11/11/25,, CONST. DE 40 VIV. - LA CRUZ ," $ 3,315,888.51 "
,, CONST. DE 40 VIV. - (AP. PROV.) - LA CRUZ ," $ 1,312,139.53 "
,, CONST. 15 VIV. - BONPLAND ," $ 17,708,333.02 "
,, CONST. 15 VIV. - (AP. PROV.) - BONPLAND ," $ 5,870,604.84 "
,, CORDÓN CUNETA - RIPIO Y BADÉN - P/40 VIV - LA CRUZ ," $ 401,529,577.80 "
,, ADICN°1: CORDÓN CUNETA - RIPIO Y BADÉN - 40 VIV - LA CRUZ ," $ 44,643,377.05 "
,, CONST 12 VIV - SANTO TOME ," $ 228,318,769.41 "
,, NUEVA COMISARIA - EL CAIMAN - SAN MIGUEL ," $ 211,333,547.59 "
,, POLIDEPORTIVO PALMAR GRANDE - GRAL PAZ ," $ 305,709,960.79 "
,, ADICONAL N°1 - PINTURA - POLIDEPORTIVO PALMAR GRANDE - GRAL PAZ ," $ 48,643,501.02 "
,, RED DE AGUA Y CLOACA - CC RIPIO Y BADEN 15 VIV - BONPLAND ," $ 477,272,638.93 "
,, CONST. TINGLADO P/DEPÓSITO - ANFITEATRO COCOMAROLA - CAPITAL ," $ 87,516,325.59 "
,, NUEVO POLIDEPORTIVO - CONCEPCIÓN ," $ 462,096,634.07 "
,, PAVIMENTO - CALLE LOLA MORA - AV. ARTIGAS -CALLAO - B°IND Y ALUSTIZA - MONTE CASEROS ," $ 1,015,534,628.24 "
,, CLUB SPORTIVO CORRIENTES - CAPITAL ," $ 62,259,622.41 "
,," INFRA ELECTRICA - NEXO DE M.T. 13,2 KV + R.B.T. P/ 15 VIV - BONPLAND "," $ 136,348,058.92 "
,," CONSOLIDACION DE TERRAPLEN C/ COLCHONETAS - B° 36 
VIV. - COLONIA LIEBIG "," $ 59,890,216.66 "
,, CONST 10 VIV - GR 1 - YAPEYU ," $ 136,599,581.95 "
,, EJEC DE SALIDA - COMEDOR TÉC. - CANTINAS - ANFITEATRO ," $ 7,646,063.87 "
,, MONTAJE DE EST. LAYHER - TRAB DE PINTURA - ANFITEATRO ," $ 48,578,012.34 "
,, RED DE AGUA Y CLOACA - REACONDICIONAMIENTO DE EST. ELEV. P/40 VIV - LA CRUZ  ," $ 485,723.10 "
,, PAVIMENTO - CALLES CALLAO - LOS ANDES - PREF - B° JP II - MONTE CASEROS ," $ 331,652,455.56 "
,, LIMP Y DESTAPE - MOV DE SUELO POLIDEPORTIVO - CONCEPCION ," $ 42,857,295.91 "
,, PAV - AV. USPALLATA - MMONTE CASEROS- GINSA ," $ 780,886,583.52 "
,,TOTAL    ," $ 4,918,009,540.63 "